South Korea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
118,1918,-0.31967741935483873,-0.01,,,,
119,1919,0.16032258064516125,0.0,,,,
120,1920,0.49032258064516127,0.01,,,,
121,1921,-0.05967741935483872,0.01,,,,
122,1922,0.3403225806451613,0.01,,,,
123,1923,-0.17967741935483872,0.03,,,,
124,1924,-0.019677419354838688,0.05,,,,
125,1925,-0.17967741935483872,0.08,,,,
126,1926,-0.2596774193548388,0.09,,,,
127,1927,0.12032258064516127,0.1,,,,
128,1928,0.17032258064516126,0.12,,,,
129,1929,0.3803225806451612,0.14,,,,
130,1930,0.7003225806451613,0.17,,,,
131,1931,-0.05967741935483872,0.21,,,,
132,1932,0.40032258064516124,0.26,,,,
133,1933,0.10032258064516125,0.3,,,,
134,1934,-0.17967741935483872,0.32,,,,
135,1935,0.6903225806451613,0.34,,,,
136,1936,-0.5596774193548388,0.36,,,,
137,1937,0.7803225806451612,0.38,,,,
138,1938,0.3803225806451612,0.4,,,,
139,1939,0.8903225806451613,0.42,,,,
140,1940,0.28032258064516125,0.44,,,,
141,1941,0.3803225806451612,0.46,,,,
142,1942,0.47032258064516125,0.48,,,,
143,1943,0.6003225806451613,0.5,,,,
144,1944,0.35032258064516125,0.52,,,,
145,1945,-0.20967741935483875,0.54,,,,
146,1946,0.7103225806451613,0.55,,,,
147,1947,-0.8096774193548388,0.57,,,,
148,1948,0.9403225806451613,0.59,,,,
149,1949,0.6003225806451613,0.61,,,,
150,1950,0.8503225806451613,0.63,,,,
151,1951,0.6703225806451613,0.64,,,,
152,1952,0.37032258064516127,0.65,,,,
153,1953,0.5703225806451613,0.67,,,,
154,1954,0.7103225806451613,0.69,,,,
155,1955,0.8203225806451613,0.72,,,,
156,1956,-0.45967741935483875,0.74,,,,
157,1957,-0.11967741935483878,0.75,,,,
158,1958,0.7103225806451613,0.76,,,,
159,1959,1.2903225806451613,0.75,,,,
160,1960,1.2203225806451612,0.75,,,,
161,1961,1.370322580645161,0.74,,,,
162,1962,0.5903225806451613,0.71,,,,
163,1963,-0.029677419354838697,0.68,,,,
164,1964,1.0703225806451613,0.62,,,,
165,1965,0.21032258064516124,0.56,,,,
166,1966,0.5003225806451612,0.51,,,,
167,1967,0.5303225806451612,0.46,,,,
168,1968,0.4403225806451613,0.44,,,,
169,1969,-0.10967741935483877,0.43,,,,
170,1970,0.18032258064516127,0.44,,,,
171,1971,0.40032258064516124,0.47,,,,
172,1972,0.5903225806451613,0.5,,,,
173,1973,0.8803225806451613,0.55,,,,
174,1974,-0.13967741935483868,0.59,,,,
175,1975,1.0803225806451613,0.63,,,,
176,1976,0.17032258064516126,0.66,,,,
177,1977,0.8503225806451613,0.68,,,,
178,1978,1.3003225806451613,0.69,,,,
179,1979,1.1603225806451611,0.69,,,,
180,1980,-0.2696774193548387,0.69,,,,
181,1981,-0.039677419354838706,0.68,,,,
182,1982,0.9803225806451612,0.68,,,,
183,1983,0.8703225806451613,0.69,,,,
184,1984,0.30032258064516126,0.7,,,,
185,1985,0.6503225806451612,0.73,,,,
186,1986,0.10032258064516125,0.76,,,,
187,1987,0.8603225806451613,0.8,,,,
188,1988,0.7203225806451613,0.85,,,,
189,1989,1.4403225806451614,0.88,,,,
190,1990,1.7403225806451612,0.91,,,,
191,1991,0.8903225806451613,0.95,,,,
192,1992,1.1003225806451613,1.0,,,,
193,1993,0.4603225806451613,1.04,,,,
194,1994,1.9503225806451612,1.07,,,,
195,1995,0.7903225806451613,1.09,,,,
196,1996,0.6403225806451612,1.1,,,,
197,1997,1.2303225806451614,1.12,,,,
198,1998,2.040322580645161,1.14,,,,
199,1999,1.4203225806451614,1.17,,,,
200,2000,0.9703225806451612,1.2,,,,
201,2001,1.2803225806451612,1.23,,,,
202,2002,1.2303225806451614,1.26,,,,
203,2003,1.0503225806451613,1.29,,,,
204,2004,1.8003225806451613,1.29,,,,
205,2005,0.8503225806451613,1.28,1.18,1.19,1.29,1.22
206,2006,1.3403225806451613,1.26,1.21,1.22,1.31,1.25
207,2007,1.7403225806451612,1.25,1.25,1.25,1.32,1.27
208,2008,1.4203225806451614,1.26,1.28,1.29,1.34,1.3
209,2009,1.3603225806451613,1.28,1.32,1.32,1.36,1.33
210,2010,1.0303225806451612,1.31,1.35,1.36,1.38,1.36
211,2011,0.7703225806451612,1.34,1.39,1.39,1.41,1.39
212,2012,0.7203225806451613,1.39,1.42,1.43,1.43,1.42
213,2013,1.3003225806451613,1.43,1.46,1.47,1.45,1.45
214,2014,1.4803225806451614,1.48,1.5,1.51,1.47,1.48
215,2015,1.7703225806451612,1.53,1.55,1.55,1.51,1.53
216,2016,2.0203225806451615,1.59,1.6,1.59,1.54,1.58
217,2017,1.5003225806451612,1.65,1.64,1.63,1.58,1.62
218,2018,1.4903225806451612,1.71,1.69,1.67,1.62,1.67
219,2019,1.9703225806451612,1.77,1.73,1.71,1.66,1.72
220,2020,1.8303225806451613,1.83,1.78,1.75,1.7,1.77
221,2021,,,1.82,1.79,1.74,1.82
222,2022,,,1.85,1.83,1.79,1.86
223,2023,,,1.88,1.86,1.83,1.91
224,2024,,,1.91,1.9,1.87,1.95
225,2025,,,1.95,1.93,1.91,1.99
226,2026,,,1.97,1.97,1.95,2.03
227,2027,,,2.01,2.0,1.99,2.07
228,2028,,,2.04,2.04,2.02,2.11
229,2029,,,2.07,2.07,2.05,2.15
230,2030,,,2.1,2.1,2.08,2.18
231,2031,,,2.13,2.13,2.12,2.22
232,2032,,,2.16,2.16,2.15,2.27
233,2033,,,2.19,2.19,2.18,2.32
234,2034,,,2.21,2.22,2.21,2.37
235,2035,,,2.24,2.25,2.23,2.42
236,2036,,,2.26,2.28,2.27,2.47
237,2037,,,2.28,2.31,2.31,2.52
238,2038,,,2.29,2.34,2.35,2.57
239,2039,,,2.31,2.37,2.38,2.62
240,2040,,,2.32,2.39,2.42,2.68
241,2041,,,2.33,2.42,2.46,2.73
242,2042,,,2.34,2.45,2.5,2.78
243,2043,,,2.35,2.47,2.54,2.83
244,2044,,,2.36,2.5,2.58,2.88
245,2045,,,2.37,2.52,2.62,2.93
246,2046,,,2.38,2.54,2.66,2.97
247,2047,,,2.39,2.57,2.7,3.02
248,2048,,,2.39,2.59,2.74,3.07
249,2049,,,2.4,2.61,2.77,3.12
250,2050,,,2.4,2.63,2.81,3.16
251,2051,,,2.42,2.66,2.84,3.21
252,2052,,,2.43,2.68,2.88,3.25
253,2053,,,2.44,2.7,2.92,3.3
254,2054,,,2.46,2.72,2.96,3.35
255,2055,,,2.47,2.75,2.99,3.4
256,2056,,,2.48,2.77,3.03,3.45
257,2057,,,2.49,2.8,3.07,3.51
258,2058,,,2.5,2.82,3.1,3.56
259,2059,,,2.51,2.85,3.14,3.62
260,2060,,,2.52,2.87,3.17,3.67
261,2061,,,2.53,2.89,3.21,3.73
262,2062,,,2.53,2.91,3.26,3.79
263,2063,,,2.53,2.93,3.3,3.85
264,2064,,,2.53,2.95,3.34,3.9
265,2065,,,2.53,2.97,3.39,3.96
266,2066,,,2.53,2.99,3.43,4.02
267,2067,,,2.53,3.01,3.47,4.07
268,2068,,,2.53,3.03,3.52,4.12
269,2069,,,2.53,3.05,3.56,4.18
270,2070,,,2.53,3.07,3.61,4.23
271,2071,,,2.52,3.09,3.67,4.28
272,2072,,,2.53,3.12,3.72,4.33
273,2073,,,2.52,3.14,3.76,4.39
274,2074,,,2.52,3.17,3.81,4.45
275,2075,,,2.52,3.19,3.85,4.51
276,2076,,,2.52,3.21,3.89,4.56
277,2077,,,2.52,3.24,3.93,4.62
278,2078,,,2.52,3.26,3.97,4.68
279,2079,,,2.52,3.28,4.02,4.74
280,2080,,,2.51,3.29,4.06,4.8
281,2081,,,2.51,3.31,4.11,4.86
282,2082,,,2.5,3.32,4.15,4.92
283,2083,,,2.5,3.33,4.19,4.98
284,2084,,,2.49,3.34,4.23,5.04
285,2085,,,2.48,3.35,4.27,5.1
286,2086,,,2.48,3.36,4.32,5.16
287,2087,,,2.48,3.37,4.36,5.22
288,2088,,,2.47,3.38,4.41,5.29
289,2089,,,2.47,3.38,4.45,5.35
290,2090,,,2.46,3.39,4.5,5.42
291,2091,,,2.46,3.41,4.54,5.48
292,2092,,,2.46,3.42,4.58,5.54
293,2093,,,2.46,3.43,4.63,5.6
294,2094,,,2.47,3.44,4.68,5.65
295,2095,,,2.47,3.45,4.72,5.71
296,2096,,,2.47,3.46,4.77,5.76
297,2097,,,2.48,3.47,4.82,5.82
298,2098,,,2.48,3.48,4.87,5.87
299,2099,,,2.48,3.49,4.92,5.92
300,2100,,,2.49,3.5,4.97,5.99
